time_years,cumulative_log_growth,mean_megno,relative_energy_error
2.0472160000e+05,1.2970616556e+01,2.0220887328e+00,9.957612e-07
3.8944280001e+05,1.3380392208e+01,2.0143011526e+00,6.863240e-07
6.1416440000e+05,1.4020721047e+01,2.0120013894e+00,7.447639e-07
7.9888559996e+05,1.4202971664e+01,2.0119482554e+00,5.879618e-07
9.8360679991e+05,1.4480644937e+01,2.0108630788e+00,6.520859e-07
1.2083283999e+06,1.4653622705e+01,2.0097003680e+00,6.196376e-07
1.3930495998e+06,1.4688064804e+01,2.0082800848e+00,7.824611e-07
1.6177711998e+06,1.5175964114e+01,2.0055567196e+00,7.072494e-07
1.8024923997e+06,1.4972863866e+01,2.0029244589e+00,7.385212e-07
1.9872135997e+06,1.4968409990e+01,2.0004860993e+00,1.026576e-06
2.2119351998e+06,1.5461784807e+01,1.9982225499e+00,1.728532e-07
2.3966563999e+06,1.5282745976e+01,1.9972885090e+00,7.003372e-07
2.5813780001e+06,1.5365772550e+01,1.9963839110e+00,5.945675e-07
2.8060992003e+06,1.5679117079e+01,1.9952075541e+00,6.069508e-07
2.9908204005e+06,1.5430475364e+01,1.9943214720e+00,6.197833e-07
3.2155420007e+06,1.5600872497e+01,1.9929587377e+00,6.044375e-07
3.4002632009e+06,1.5838103716e+01,1.9917418465e+00,7.402408e-07
3.5849848010e+06,1.5559255735e+01,1.9909823917e+00,8.242751e-07
3.8097060013e+06,1.5805899334e+01,1.9902775647e+00,8.977659e-07
3.9944272014e+06,1.5941073259e+01,1.9899625621e+00,5.585872e-07
4.2191488016e+06,1.5975593026e+01,1.9898681315e+00,5.163273e-08
4.4038700018e+06,1.5994704015e+01,1.9897651955e+00,7.396041e-07
4.5885916020e+06,1.5992167595e+01,1.9895098534e+00,6.105274e-07
4.8133128022e+06,1.6131007188e+01,1.9890441034e+00,6.473778e-07
4.9980340024e+06,1.6122707835e+01,1.9886374900e+00,6.107559e-07
5.1827556025e+06,1.6022678716e+01,1.9882481696e+00,7.152803e-07
5.4074768027e+06,1.6333577735e+01,1.9878201849e+00,6.691008e-07
5.5921984029e+06,1.6238518721e+01,1.9874514659e+00,8.700293e-07
5.8169196031e+06,1.6170035863e+01,1.9871325593e+00,8.484455e-07
6.0016408033e+06,1.6492525057e+01,1.9869795581e+00,5.820131e-08
6.1863624035e+06,1.6262311396e+01,1.9868502056e+00,8.285737e-07
6.4110836037e+06,1.6294294693e+01,1.9867088487e+00,9.241796e-07
6.5958052038e+06,1.6613471552e+01,1.9868483909e+00,6.630147e-07
6.7805264040e+06,1.6279372951e+01,1.9871329079e+00,6.058489e-07
7.0052476042e+06,1.6433175387e+01,1.9874433727e+00,5.806369e-07
7.1899692044e+06,1.6687543678e+01,1.9878171636e+00,6.523648e-07
7.4146904046e+06,1.6535749819e+01,1.9884650143e+00,6.404069e-07
7.5994120048e+06,1.6440761667e+01,1.9888294691e+00,8.422428e-07
7.7841332050e+06,1.6684162914e+01,1.9892305680e+00,2.853327e-07
8.0088544052e+06,1.6712457070e+01,1.9898037300e+00,4.902625e-07
8.1935760053e+06,1.6601134843e+01,1.9902315565e+00,8.903109e-07
8.4182972054e+06,1.6630467573e+01,1.9905808995e+00,8.427924e-07
8.6030188047e+06,1.6731085778e+01,1.9907890359e+00,7.027712e-07
8.7877400040e+06,1.6867754002e+01,1.9910975450e+00,6.031218e-07
9.0124612032e+06,1.6618268673e+01,1.9913738976e+00,6.180657e-07
9.1971828025e+06,1.6725907331e+01,1.9913968007e+00,6.190489e-07
9.3819040018e+06,1.6836818027e+01,1.9914056738e+00,8.278065e-07
9.6066256010e+06,1.6804780022e+01,1.9915963226e+00,6.962670e-07
9.7913468003e+06,1.7020063634e+01,1.9919649520e+00,6.516926e-07
1.0016067999e+07,1.6779472628e+01,1.9923355788e+00,8.167751e-07
1.0200789599e+07,1.6933847458e+01,1.9928914083e+00,8.729912e-07
1.0385510798e+07,1.7140551916e+01,1.9939009358e+00,7.186559e-07
1.0610232397e+07,1.6768462727e+01,1.9948870654e+00,7.926377e-07
1.0794953597e+07,1.6909302243e+01,1.9956629150e+00,6.194801e-07
1.1019674796e+07,1.7319250962e+01,1.9972319225e+00,6.293051e-07
1.1204396395e+07,1.6837391980e+01,1.9985094746e+00,5.956368e-07
1.1389117594e+07,1.6807725838e+01,1.9997348449e+00,7.161184e-07
1.1613839193e+07,1.7460844254e+01,2.0018609693e+00,6.526091e-07
1.1798560393e+07,1.7234020619e+01,2.0039820281e+00,9.214080e-07
1.1983281592e+07,1.6816257685e+01,2.0059079088e+00,8.585498e-07
1.2208003191e+07,1.6891218169e+01,2.0082184849e+00,3.463291e-07
1.2392724391e+07,1.7356184877e+01,2.0102974352e+00,7.784336e-07
1.2617445990e+07,1.7488945661e+01,2.0133363628e+00,8.463202e-07
1.2802167189e+07,1.6958976990e+01,2.0155758372e+00,6.447678e-07
1.2986888388e+07,1.6968163990e+01,2.0179869445e+00,5.972132e-07
1.3211609988e+07,1.7693845357e+01,2.0213338340e+00,5.800572e-07
1.3396331187e+07,1.7374782385e+01,2.0244931875e+00,6.871243e-07
1.3581052786e+07,1.7042273018e+01,2.0273301052e+00,1.036088e-06
1.3805773985e+07,1.7288348335e+01,2.0307329086e+00,8.924005e-07
1.3990495185e+07,1.7521591878e+01,2.0340720426e+00,1.885140e-07
1.4215216784e+07,1.7153849734e+01,2.0379291238e+00,1.667079e-07
1.4399937983e+07,1.7008409571e+01,2.0411699483e+00,8.035643e-07
1.4584659582e+07,1.7684425208e+01,2.0449861732e+00,6.232951e-07
1.4809380782e+07,1.7135211223e+01,2.0497994564e+00,6.683949e-07
1.4994101981e+07,1.7174256966e+01,2.0534591292e+00,5.966423e-07
1.5218823580e+07,1.7488604055e+01,2.0580744112e+00,5.931127e-07
1.5403544779e+07,1.8057080094e+01,2.0622659251e+00,6.552956e-07
1.5588266379e+07,1.7174187423e+01,2.0663518057e+00,8.502407e-07
1.5812987578e+07,1.7226648870e+01,2.0712476526e+00,7.845764e-07
1.5997708777e+07,1.7191136093e+01,2.0752084768e+00,2.693686e-07
1.6182430376e+07,1.7938533444e+01,2.0794996000e+00,8.711264e-07
1.6407151576e+07,1.7093112514e+01,2.0846862699e+00,1.028665e-06
1.6591873175e+07,1.7518754537e+01,2.0887463530e+00,6.716465e-07
1.6816594374e+07,1.7079659348e+01,2.0936256975e+00,6.794806e-07
1.7001315573e+07,1.8393376112e+01,2.0977949352e+00,5.801545e-07
1.7186037173e+07,1.7376739731e+01,2.1018845127e+00,6.424312e-07
1.7410758372e+07,1.7517639588e+01,2.1064094587e+00,6.368345e-07
1.7595479971e+07,1.8352094356e+01,2.1102204240e+00,8.007117e-07
1.7780201171e+07,1.7304676430e+01,2.1144905591e+00,2.527879e-07
1.8004922370e+07,1.7494503083e+01,2.1193022226e+00,5.570956e-07
1.8189643969e+07,1.8333963117e+01,2.1234125286e+00,8.935891e-07
1.8414365168e+07,1.7790608049e+01,2.1290246394e+00,6.961890e-07
1.8599086767e+07,1.7905534049e+01,2.1334683606e+00,6.996381e-07
1.8783807967e+07,1.7207658240e+01,2.1382133351e+00,5.949498e-07
1.9008529166e+07,1.8230892187e+01,2.1444112171e+00,6.155871e-07
1.9193250765e+07,1.8045543343e+01,2.1499810195e+00,6.292437e-07
1.9417971964e+07,1.7730242576e+01,2.1564817654e+00,6.003431e-07
1.9602693564e+07,1.7611924560e+01,2.1618796768e+00,6.965514e-07
1.9787414763e+07,1.8284067262e+01,2.1669420373e+00,8.324077e-07
2.0012135962e+07,1.8143730539e+01,2.1733182308e+00,8.881543e-07
2.0196857562e+07,1.7781675299e+01,2.1781425198e+00,6.642550e-07
2.0381578761e+07,1.7902560330e+01,2.1830934810e+00,7.051235e-07
2.0606300360e+07,1.7624743629e+01,2.1888544084e+00,8.123707e-07
2.0791021559e+07,1.8783187787e+01,2.1935994554e+00,6.240157e-07
2.1015742758e+07,1.7292065873e+01,2.1988343239e+00,6.357295e-07
2.1200464358e+07,1.7770752231e+01,2.2027311781e+00,5.983067e-07
2.1385185557e+07,1.8808575290e+01,2.2064974680e+00,6.912894e-07
2.1609907156e+07,1.7555417457e+01,2.2110366823e+00,6.540109e-07
2.1794628356e+07,1.7338672004e+01,2.2146111250e+00,9.073562e-07
2.2019349555e+07,1.8821395935e+01,2.2191665181e+00,8.576312e-07
2.2204071154e+07,1.7296544297e+01,2.2230996677e+00,2.978421e-07
2.2388792353e+07,1.8177242880e+01,2.2269471588e+00,8.180854e-07
2.2613513953e+07,1.8020507456e+01,2.2315629356e+00,8.817185e-07
2.2798235152e+07,1.8489902956e+01,2.2355954169e+00,6.639918e-07
2.2982956351e+07,1.7506468486e+01,2.2395591913e+00,5.968740e-07
2.3207677950e+07,1.8307176929e+01,2.2441974431e+00,5.971864e-07
2.3392399150e+07,1.7610510957e+01,2.2481434414e+00,6.478997e-07
2.3617120749e+07,1.8724206478e+01,2.2527705595e+00,6.172483e-07
2.3801841948e+07,1.8248771274e+01,2.2567983718e+00,8.326867e-07
2.3986563147e+07,1.8185457477e+01,2.2603878710e+00,2.160673e-07
2.4211284747e+07,1.8195218514e+01,2.2648126930e+00,4.367815e-07
2.4396005946e+07,1.7941665495e+01,2.2682876311e+00,8.673331e-07
2.4580727545e+07,1.8928492523e+01,2.2717591298e+00,6.567697e-07
2.4805448744e+07,1.7811491435e+01,2.2753408329e+00,7.114067e-07
2.4990170344e+07,1.8046890751e+01,2.2776231570e+00,6.074673e-07
2.5214891543e+07,1.8651083066e+01,2.2798695432e+00,6.206256e-07
2.5399612742e+07,1.7527171827e+01,2.2814129784e+00,6.265700e-07
2.5584334341e+07,1.7591686443e+01,2.2824900304e+00,7.768778e-07
2.5809055541e+07,1.8765172344e+01,2.2834418438e+00,7.140185e-07
2.5993777140e+07,1.7386680851e+01,2.2839054918e+00,4.962768e-07
2.6218498339e+07,1.7930273506e+01,2.2840811921e+00,9.462859e-07
2.6403219538e+07,1.8362420327e+01,2.2840709516e+00,9.331454e-07
2.6587941138e+07,1.8363426650e+01,2.2841496818e+00,7.282185e-07
2.6812662337e+07,1.7638140429e+01,2.2837441775e+00,7.507803e-07
2.6997383936e+07,1.8182330378e+01,2.2830433692e+00,5.996155e-07
2.7182105136e+07,1.7568817732e+01,2.2820549939e+00,6.046692e-07
2.7406826335e+07,1.8513756136e+01,2.2804944334e+00,5.999222e-07
2.7591547934e+07,1.8057714484e+01,2.2790688755e+00,7.258653e-07
2.7816269133e+07,1.7883908524e+01,2.2767833876e+00,7.068760e-07
2.8000990732e+07,1.7700806963e+01,2.2747102956e+00,1.021417e-06
2.8185711932e+07,1.7917507284e+01,2.2724773508e+00,7.950979e-07
2.8410433131e+07,1.8298356298e+01,2.2697073704e+00,2.119153e-07
2.8595154730e+07,1.8199603843e+01,2.2673293301e+00,7.425063e-07
2.8819875929e+07,1.7748872645e+01,2.2640101093e+00,8.076635e-07
2.9004597529e+07,1.8100497268e+01,2.2611469174e+00,6.376008e-07
2.9189318728e+07,1.7954668070e+01,2.2584074116e+00,6.096399e-07
2.9414039927e+07,1.7780928582e+01,2.2547211263e+00,5.918197e-07
2.9598761527e+07,1.8330311369e+01,2.2517711470e+00,6.882459e-07
2.9783482726e+07,1.7914670054e+01,2.2489462814e+00,9.476806e-07
3.0008204325e+07,1.7821298401e+01,2.2453173239e+00,8.627209e-07
3.0192925524e+07,1.8268347688e+01,2.2424421486e+00,2.374112e-07
3.0417646723e+07,1.8274226451e+01,2.2391947231e+00,9.087048e-08
3.0602368323e+07,1.7799818063e+01,2.2364517083e+00,8.791131e-07
3.0787089522e+07,1.7905026272e+01,2.2336543631e+00,6.178074e-07
3.1011811121e+07,1.7863326053e+01,2.2302023946e+00,6.535141e-07
3.1196532321e+07,1.8370443415e+01,2.2273531022e+00,5.906459e-07
3.1381253520e+07,1.7987302051e+01,2.2245083259e+00,7.028687e-07
3.1605975119e+07,1.7908730803e+01,2.2208058325e+00,6.623777e-07
3.1790696318e+07,1.7924356039e+01,2.2176883355e+00,8.659025e-07
3.2015417917e+07,1.8323527708e+01,2.2139410033e+00,7.951945e-07
3.2200139117e+07,1.8158351687e+01,2.2109197629e+00,3.207586e-07
3.2384860316e+07,1.8189879738e+01,2.2078826275e+00,8.519296e-07
3.2609581915e+07,1.7861918435e+01,2.2041092999e+00,9.242258e-07
3.2794303115e+07,1.8044083406e+01,2.2010584535e+00,6.547854e-07
3.3019024714e+07,1.8266888939e+01,2.1975512015e+00,6.906781e-07
3.3203745913e+07,1.7948095250e+01,2.1945606688e+00,5.935711e-07
3.3388467112e+07,1.8160857028e+01,2.1915907146e+00,6.461661e-07
3.3613188713e+07,1.8198416926e+01,2.1880982152e+00,6.235515e-07
3.3797909915e+07,1.7944648155e+01,2.1851305057e+00,7.954415e-07
3.3982631518e+07,1.8205179418e+01,2.1821855138e+00,1.377660e-07
3.4207352721e+07,1.8194513713e+01,2.1787649215e+00,7.638534e-07
3.4392073924e+07,1.7956236369e+01,2.1759286136e+00,8.920984e-07
3.4616795528e+07,1.8004095770e+01,2.1724494192e+00,7.793510e-07
3.4801516730e+07,1.8094816560e+01,2.1696085717e+00,6.921018e-07
3.4986237933e+07,1.8242344889e+01,2.1668193597e+00,6.056583e-07
3.5210959536e+07,1.8193565891e+01,2.1634437228e+00,6.301119e-07
3.5395680739e+07,1.7978086017e+01,2.1606426691e+00,6.214335e-07
3.5580402342e+07,1.8180913181e+01,2.1578926051e+00,7.547956e-07
3.5805123545e+07,1.8388110835e+01,2.1546601306e+00,6.899103e-07
3.5989844748e+07,1.8060702462e+01,2.1520794768e+00,5.989258e-07
3.6214566351e+07,1.8084681852e+01,2.1489636802e+00,9.218525e-07
3.6399287554e+07,1.8107596552e+01,2.1464102512e+00,6.985334e-07
3.6584009157e+07,1.8112805438e+01,2.1439245776e+00,7.545628e-07
3.6808730360e+07,1.8179740016e+01,2.1409931359e+00,8.193723e-07
3.6993451563e+07,1.8149834799e+01,2.1385899156e+00,6.310146e-07
3.7218173166e+07,1.8063640813e+01,2.1357510433e+00,6.479997e-07
3.7402894369e+07,1.8134910509e+01,2.1334598222e+00,5.923909e-07
3.7587615972e+07,1.8177683798e+01,2.1311950449e+00,6.777858e-07
3.7812337175e+07,1.8129622168e+01,2.1284913673e+00,6.612977e-07
3.7997058378e+07,1.8100469333e+01,2.1262782038e+00,1.010829e-06
